1路↑ 香洲-南坑-桃园新村-银桦新村-新村-南村-香洲区府-仁恒星园-安居园-新香洲万家-上冲-明珠北-翠微-招商花园城南-海纳石鸣苑-中山亭-瀚林苑-前山-银石雅园-兰埔-北岭-华侨宾馆-华润万家-拱北:{6:20-0:25}
1路↓ 拱北-拱北口岸-口岸广场-华润万家-华侨宾馆-北岭-兰埔-圆明新园-银石雅园-前山-瀚林苑-中山亭-海纳石鸣苑-招商花园城南-翠微-明珠北-上冲-新香洲万家-安居园-仁恒星园-香洲区府-南村-新村-银桦新村-桃园新村-南坑-香洲:{6:20-0:25}
观光01线↑ 石景山-九洲城-吉大-中电大厦-白莲洞公园-竹苑-兰圃-圆明新园-银石雅园-前山西门-明珠商业广场-翠景工业区-翠薇-明珠北-上涌村-公交花园-长沙-梅溪牌坊-农科奇观-东坑新村-东坑公园-绿知农庄-东坑市场-东坑-凤凰山-普陀寺:{06:45}
8↓ 拱北-拱北口岸-口岸广场-华润万家-凉粉桥-合罗山-供水总公司-银石雅园南-前山西门-明珠商业广场-翠景工业区-招商花园城南-招商花园城-健华医院-恒隆学校-新香洲万家-安居园-仁恒星园-香洲区府-南村-新村-银桦新村-滨海楼-二中-人民医院-湾仔沙-百货公司-邮政大厦-翠香中-安平大厦-香洲 :{香洲6:15-23:50}
9↑ 体育中心南-金桦花园-电视台北门-山场市场-山场路东-兴业中-保健院-警察学校-胡湾里-二中-人民医院-湾仔沙广场-海霞新村-侨苑-珠海渔女-海滨泳场-君怡花园-烟墩山-免税商场-通信大厦-工业学校-四中-白莲新村-国土资源局-吉石路口-南油大酒店-水湾头-情侣南路南-日华花园-粤海东-银都-华润万家-拱北 :{6:20-22:15}
9↓ 拱北-拱北口岸-口岸广场-华润万家-银都-粤海东-日华花园-情侣南路南-水湾头-南油大酒店-吉石路口-国土资源局-白莲新村-四中-工业学校-通信大厦-九洲城-烟墩山-君怡花园-海滨泳场-珠海渔女-侨苑-海霞新村-名亭公园-人民医院-二中-胡湾里-警察学校-保健院-兴业中-山场路东-山场市场-电视台北门-报业大厦-金桦花园-体育中心南 :{体育中心南6:20-22:15}
10路 拱北-华润万家-华侨宾馆-北岭-隧道南-柠溪-香宁花园-南香里-桃园新村-南坑-香洲-紫荆园-梅华东-华子石西-华子石东-中大五院-水拥坑-契爷岭-美丽湾-疗养院-银坑-叠石-鸡山-中山大学-唐家-唐家市场-裕华公司-渔村-海怡湾畔-珍珠乐园-南方软件园-经济港-国际赛车场-官塘-下栅-金鼎市场-金鼎医院-金鼎-上栅-中珠桥-外沙-北山村-威士茂北门-河头埔-下栅检查站:{6:05-22:00}
10路A↑ 拱北-华润万家-华侨宾馆-北岭-隧道南-柠溪-香宁花园-南香里-桃园新村-南坑-香洲-紫荆园-梅华东-华子石西-华子石东-中大五院-水拥坑-契爷岭-美丽湾-疗养院-银坑-叠石-鸡山-中山大学-唐家-唐家市场-裕华公司-渔村-海怡湾畔-珍珠乐园-南方软件园-经济港-国际赛车场-德豪润达-北理工-宁堂-京师家园-北师大:{6:15-22:05}
10路A↓ 北师大-京师家园-宁堂-北理工-德豪润达-国际赛车场-经济港-南方软件园-珍珠乐园-北师大附中-海怡湾畔南门-花果山-唐家市场-唐家-中山大学-鸡山-叠石-银坑-疗养院-美丽湾-契爷岭-水拥坑-中大五院-华子石东-华子石西-梅华东-紫荆园-香洲-南坑-桃园新村-南香里-香宁花园-柠溪-隧道南-北岭-华侨宾馆-华润万家-拱北:{6:15-22:05}
11↑ 香洲港-北堤-燃气集团-凤凰北-翠香中-安平大厦-香洲-夏美-光明街-胡湾里-警察学校-六小-柠溪市场-青竹花园-柠溪-隧道南-北岭-华侨宾馆-华润万家-国寿大厦-粤华西-侨光小学-夏湾 :{6:15-21:45}
11↓ 夏湾-侨光小学-粤华西-国寿大厦-拱北口岸-口岸广场-华润万家-华侨宾馆-北岭-隧道南-柠溪-青竹花园-柠溪市场-六小-警察学校-胡湾里-光明街-夏美-香洲-安平大厦-翠香中-凤凰北-华海中-香洲港 :{香洲港6:15-21:45}
12↑ 凤凰北-邮政大厦-百货公司-人民医院-二中-滨海楼-南香里-香宁花园-柠溪-隧道南-竹苑-白莲洞公园-建业一路-中电大厦-交行大厦-珠海电台-洲仔-九洲港 :{6:25-22:00}
12↓ 九洲港-石花东-珠海电台-交行大厦-中电大厦-白莲洞公园-竹苑-隧道南-柠溪-香宁花园-南香里-滨海楼-二中-人民医院-湾仔沙-百货公司-邮政大厦-凤凰北 :{凤凰北6:25-22:00}
