1路 淮西客运站-市中级法院-公交修造厂-段南新村-段庄-矿务局-工人(口腔)医院-市二院-古彭大厦-供销/华联大厦-万虹桥文化宫-火车东站:{5:45-00:30}
1路附 新一佳淮西店-段庄-段南新村-徐医附院西院-公交修造厂-市中级法院-淮西客运站-三环西路环岛-杏山工业园-开元四季花园:{6:20-17:30}
游1路↑ 矿大南湖校区-泉山公园-泉山法院-双山-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-戏马台-市政府-中山堂-民主路小学-爱牙医院(市三院)-堤北-化机厂-电力医院-轻工路口-王场新村:{6:15-19:00}
游1路↓ 王场新村-王场新村东门-二环北路-堤北市场-堤北-爱牙医院(市三院)-民主路小学-中山堂-市政府-戏马台-和平路-市四院-纪念塔-奎园西门-侯山窝-矿业大学-风华园-双山-泉山法院-泉山公园-矿大南湖校区:{6:15-19:00}
2路 火车东站-天桥-铁路分局-南郊宾馆-师大北门-中医院-中山饭店-市交通银行-九州大厦-市一院-金地商都-北路口-火车西站-坝子街-市三院-烟厂-火车东站:{5:50-20:00}
游2路 建筑学院-师大新校-文沃市场-风华南苑-风华园-矿业大学-候山窝-奎园西门-纪念塔-市四院-和平路-南郊宾馆-袁桥(民主路)-开明市场-民主南路-文化宫-第三中学-延平路-牌楼-夹河街东口-第一中学-夹河街西口-欧洲商城-工商局-电视塔-云龙公园西门-体育场西门-云龙山隧道-滨湖公园东门-汉画像石馆-云龙山索道-金山公园-金泰小区-市财校-营房西门-营房东门-孟庄公寓-泰山汇景花园-大学城-矿业大学-翟山-翟山市场-铜山中学-师大新校-建筑学院:{6:00-19:00}
13路 火车东站-万虹桥文化宫-古彭大厦-市二院-工人(口腔)医院-儿童医院-合群新村-沈场市场-水漫桥-西苑东口-西苑小区-民乐园-铜山货场-格瑞实业公司-九里医院(苏山头)-糖果厂-龟山汉墓-孤山村-新庞庄-拾屯-庞庄矿-矿医院-唐沟:{6:10-19:00}
13路附 火车东站-煤建三处-煤建五处-汉城小区-九里医院(苏山头)-格瑞实业公司-铜山货场-西苑西口-民乐园-西苑小区-西苑东口-水漫桥-沈场市场-合群新村西门-工程机械厂-矿务局-工人(口腔)医院-市二院-古彭大厦-丁楼:{6:00-19:00}
14↑ 火车西站-北路口-金地商都-彭城广场-彭城饭店-中国人寿北-开明市场-袁桥-和平桥-积水坝-淮塔东路-农副产品市场-陶瓷市场-汽车南站-技工学校-淮海食品城-两山口-建材市场-沟北头-潘塘中学-潘塘 :{6:10-18:00}
14↓ 潘塘-潘塘中学-沟北头-建材市场-两山口-淮海食品城-技工学校-汽车南站-陶瓷市场-农副产品市场-淮塔东路-积水坝-和平桥-袁桥-开明市场-中国人寿北-彭城饭店-彭城广场-金地商都-北路口-火车西站 :{6:10-18:00}
15↑ 新一佳(淮西店)-公交修造厂-淮西客运站-矿山医院-彭贸市场-农校-卧牛-夹河养鸡场-骨肥厂-种子站-田巷-马林-周棚-半步店-小山子-祁村-义安村-义安矿 :{6:40-19:00}
15↓ 义安矿-义安村-祁村-小山子-半步店-周棚-马林-田巷-种子站-骨肥厂-夹河养鸡场-卧牛-农校-彭贸市场-矿山医院-淮西客运站-公交修造厂-新一佳(淮西店) :{6:40-19:00}
16↑ 火车东站-火车东站(朝阳)(单)-四道街-地下道-大庆路-响山路东-香山物流-润家香花畦-木材市场-杨庄-二十四中-基桩公司-下淀乡政府-省经贸学校-石桥-蟠桃-三孔桥-杨台-佟台矿-坡里-大黄山镇政府-大黄山路口-大黄山 :{6:30-18:40}
16↓ 大黄山-大黄山路口-大黄山镇政府-坡里-佟台矿-杨台-三孔桥-蟠桃-石桥-省经贸学校-下淀乡政府-基桩公司-二十四中-杨庄-木材市场-润家香花畦-香山物流-响山路东-大庆路-地下道-四道街-火车东站(朝阳)(单)-火车东站 :{6:30-18:40}
17↑ 文化宫-市一院-金地商都-夹河街东口-第一中学-事业小区-黄河新村-合群桥-合群新村-沈场市场-华润小区-九里山苗圃-山新庄-机修厂-四处西院-省煤四处 :{6:30-18:55}
17↓ 省煤四处-四处西院-机修厂-山新庄-九里山苗圃-华润小区-沈场市场-合群新村-合群桥-黄河新村-事业小区-第一中学-夹河街东口-金地商都-市一院-文化宫 :{6:30-18:55}
